Datetime,Adj Close,Close,High,Low,Open,Volume,returns,volatility
2024-09-20 13:30:00+00:00,5702.89990234375,5702.89990234375,5709.64013671875,5698.93017578125,5709.64013671875,0,,
2024-09-20 13:35:00+00:00,5705.16015625,5705.16015625,5707.52978515625,5702.56982421875,5703.240234375,47798688,0.0003963341361332695,
2024-09-20 13:40:00+00:00,5701.81005859375,5701.81005859375,5706.39990234375,5701.02001953125,5705.06982421875,37442015,-0.0005872048399166996,
2024-09-20 13:45:00+00:00,5698.66015625,5698.66015625,5702.6298828125,5698.31982421875,5701.4599609375,33398536,-0.0005524390169754367,
2024-09-20 13:50:00+00:00,5699.2001953125,5699.2001953125,5703.68017578125,5698.669921875,5698.669921875,31230978,9.476597089363992e-05,
2024-09-20 13:55:00+00:00,5692.89990234375,5692.89990234375,5699.52001953125,5692.02001953125,5699.330078125,31439081,-0.001105469671679904,
2024-09-20 14:00:00+00:00,5694.56005859375,5694.56005859375,5696.2900390625,5690.83984375,5693.2001953125,31812360,0.000291618731837584,
2024-09-20 14:05:00+00:00,5693.9501953125,5693.9501953125,5696.31005859375,5693.5,5694.5,27310210,-0.00010709576771072982,
2024-09-20 14:10:00+00:00,5688.83984375,5688.83984375,5695.18017578125,5686.830078125,5694.1201171875,34256933,-0.0008975054904251101,
2024-09-20 14:15:00+00:00,5694.68017578125,5694.68017578125,5695.27978515625,5688.2900390625,5688.81005859375,34702263,0.0010266297156644733,
2024-09-20 14:20:00+00:00,5697.4501953125,5697.4501953125,5697.7900390625,5693.9599609375,5694.580078125,28439865,0.00048642231797857427,
2024-09-20 14:25:00+00:00,5695.43017578125,5695.43017578125,5698.8701171875,5695.0498046875,5697.52978515625,24400380,-0.00035454799287437666,
2024-09-20 14:30:00+00:00,5696.7900390625,5696.7900390625,5697.68994140625,5691.18994140625,5695.3798828125,26470806,0.00023876392814581315,
2024-09-20 14:35:00+00:00,5698.9599609375,5698.9599609375,5700.080078125,5693.08984375,5696.5498046875,24382524,0.00038090255391565186,
2024-09-20 14:40:00+00:00,5697.22021484375,5697.22021484375,5698.9599609375,5694.97998046875,5698.9599609375,23094867,-0.00030527431420379614,
2024-09-20 14:45:00+00:00,5693.81982421875,5693.81982421875,5697.52978515625,5693.16015625,5697.25,21883471,-0.0005968508319443844,
2024-09-20 14:50:00+00:00,5688.52978515625,5688.52978515625,5694.97998046875,5687.60986328125,5693.81982421875,25986986,-0.0009290843802255422,
2024-09-20 14:55:00+00:00,5686.58984375,5686.58984375,5688.990234375,5685.91015625,5688.6298828125,23570303,-0.0003410268521951698,
2024-09-20 15:00:00+00:00,5684.02001953125,5684.02001953125,5686.60009765625,5683.27001953125,5686.60009765625,23819963,-0.00045190954321672194,
2024-09-20 15:05:00+00:00,5685.580078125,5685.580078125,5686.259765625,5684.0400390625,5684.0400390625,24405842,0.0002744639512861635,
