Datetime,Adj Close,Close,High,Low,Open,Volume
2024-09-20 13:30:00+00:00,5702.89990234375,5702.89990234375,5709.64013671875,5698.93017578125,5709.64013671875,0
2024-09-20 13:35:00+00:00,5705.16015625,5705.16015625,5707.52978515625,5702.56982421875,5703.240234375,47798688
2024-09-20 13:40:00+00:00,5701.81005859375,5701.81005859375,5706.39990234375,5701.02001953125,5705.06982421875,37442015
2024-09-20 13:45:00+00:00,5698.66015625,5698.66015625,5702.6298828125,5698.31982421875,5701.4599609375,33398536
2024-09-20 13:50:00+00:00,5699.2001953125,5699.2001953125,5703.68017578125,5698.669921875,5698.669921875,31230978
2024-09-20 13:55:00+00:00,5692.89990234375,5692.89990234375,5699.52001953125,5692.02001953125,5699.330078125,31439081
2024-09-20 14:00:00+00:00,5694.56005859375,5694.56005859375,5696.2900390625,5690.83984375,5693.2001953125,31812360
2024-09-20 14:05:00+00:00,5693.9501953125,5693.9501953125,5696.31005859375,5693.5,5694.5,27310210
2024-09-20 14:10:00+00:00,5688.83984375,5688.83984375,5695.18017578125,5686.830078125,5694.1201171875,34256933
2024-09-20 14:15:00+00:00,5694.68017578125,5694.68017578125,5695.27978515625,5688.2900390625,5688.81005859375,34702263
2024-09-20 14:20:00+00:00,5697.4501953125,5697.4501953125,5697.7900390625,5693.9599609375,5694.580078125,28439865
2024-09-20 14:25:00+00:00,5695.43017578125,5695.43017578125,5698.8701171875,5695.0498046875,5697.52978515625,24400380
2024-09-20 14:30:00+00:00,5696.7900390625,5696.7900390625,5697.68994140625,5691.18994140625,5695.3798828125,26470806
2024-09-20 14:35:00+00:00,5698.9599609375,5698.9599609375,5700.080078125,5693.08984375,5696.5498046875,24382524
2024-09-20 14:40:00+00:00,5697.22021484375,5697.22021484375,5698.9599609375,5694.97998046875,5698.9599609375,23094867
2024-09-20 14:45:00+00:00,5693.81982421875,5693.81982421875,5697.52978515625,5693.16015625,5697.25,21883471
2024-09-20 14:50:00+00:00,5688.52978515625,5688.52978515625,5694.97998046875,5687.60986328125,5693.81982421875,25986986
2024-09-20 14:55:00+00:00,5686.58984375,5686.58984375,5688.990234375,5685.91015625,5688.6298828125,23570303
2024-09-20 15:00:00+00:00,5684.02001953125,5684.02001953125,5686.60009765625,5683.27001953125,5686.60009765625,23819963
2024-09-20 15:05:00+00:00,5685.580078125,5685.580078125,5686.259765625,5684.0400390625,5684.0400390625,24405842
2024-09-20 15:10:00+00:00,5679.9501953125,5679.9501953125,5686.169921875,5679.27978515625,5685.5498046875,25541990
2024-09-20 15:15:00+00:00,5681.3798828125,5681.3798828125,5681.60009765625,5674.490234375,5679.919921875,26730713
2024-09-20 15:20:00+00:00,5682.7998046875,5682.7998046875,5684.169921875,5681.31005859375,5681.33984375,27697000
2024-09-20 15:25:00+00:00,5682.6201171875,5682.6201171875,5684.14013671875,5682.3701171875,5682.830078125,20117000
2024-09-20 15:30:00+00:00,5687.580078125,5687.580078125,5688.02978515625,5680.35986328125,5682.5498046875,25759000
2024-09-20 15:35:00+00:00,5688.52001953125,5688.52001953125,5689.7998046875,5685.919921875,5687.68017578125,25067000
2024-09-20 15:40:00+00:00,5694.97021484375,5694.97021484375,5695.64013671875,5686.85986328125,5688.60986328125,24612000
2024-09-20 15:45:00+00:00,5693.7099609375,5693.7099609375,5695.56005859375,5691.39990234375,5694.9501953125,21536000
2024-09-20 15:50:00+00:00,5689.60009765625,5689.60009765625,5694.22021484375,5688.2900390625,5693.68017578125,20056000
2024-09-20 15:55:00+00:00,5692.14013671875,5692.14013671875,5694.990234375,5689.490234375,5689.490234375,19215000
2024-09-20 16:00:00+00:00,5694.60986328125,5694.60986328125,5694.89013671875,5690.52978515625,5692.52001953125,20154000
2024-09-20 16:05:00+00:00,5696.35009765625,5696.35009765625,5697.4599609375,5692.6201171875,5694.6201171875,18756000
2024-09-20 16:10:00+00:00,5695.14013671875,5695.14013671875,5697.02978515625,5693.85009765625,5696.240234375,19658000
2024-09-20 16:15:00+00:00,5696.3701171875,5696.3701171875,5696.580078125,5693.72998046875,5695.0,16023000
